city,location,price,bedrooms,baths,size,year,source,location_clean,location_standardized
Lahore,"DHA Phase 6, DHA Defence",74500000.0,5.0,6.0,4500.0,2023,historical,"dha phase 6, dha defence",Dha Phase 6
Lahore,"DHA Phase 7, DHA Defence",51500000.0,5.0,6.0,4500.0,2023,historical,"dha phase 7, dha defence",Dha Phase 7
Lahore,"Dream Gardens, Defence Road",7500000.0,1.0,1.0,518.0,2023,historical,"dream gardens, defence road",Dream Gardens
Lahore,"DHA Phase 6, DHA Defence",73000000.0,5.0,6.0,4500.0,2023,historical,"dha phase 6, dha defence",Dha Phase 6
Lahore,"Bahria Town - Sector B, Bahria Town",5700000.0,1.0,1.0,472.0,2023,historical,"bahria town - sector b, bahria town",Bahria Town - Sector B
Lahore,"DHA Phase 5 - Block L, DHA Phase 5",53500000.0,5.0,6.0,2250.0,2023,historical,"dha phase 5 - block l, dha phase 5",Dha Phase 5 - Block L
Lahore,"Bahria Town - Overseas A, Bahria Town - Overseas Enclave",97500000.0,5.0,6.0,4500.0,2023,historical,"bahria town - overseas a, bahria town - overseas enclave",Bahria Town - Overseas A
Lahore,"Bahria Town - Jasmine Block, Bahria Town - Sector C",47000000.0,5.0,7.0,4500.0,2023,historical,"bahria town - jasmine block, bahria town - sector c",Bahria Town - Jasmine Block
Lahore,"Bahria Town - Sector E, Bahria Town",5000000.0,1.0,1.0,450.0,2023,historical,"bahria town - sector e, bahria town",Bahria Town - Sector E
Lahore,"Raiwind Road, Lahore",8299000.0,1.0,1.0,630.0,2023,historical,"raiwind road, lahore",Raiwind Road
Lahore,"DHA Phase 6, DHA Defence",95000000.0,6.0,7.0,4500.0,2023,historical,"dha phase 6, dha defence",Dha Phase 6
Lahore,"DHA 11 Rahbar Phase 2 - Block K, DHA 11 Rahbar Phase 2",20000000.0,3.0,4.0,1125.0,2023,historical,"dha 11 rahbar phase 2 - block k, dha 11 rahbar phase 2",Dha 11 Rahbar Phase 2 - Block K
Lahore,"Ali Park - Block E, Ali Park",8000000.0,3.0,3.0,562.0,2023,historical,"ali park - block e, ali park",Ali Park - Block E
Lahore,"Bahria Town - Jinnah Block, Bahria Town - Sector E",20700000.0,3.0,4.0,1125.0,2023,historical,"bahria town - jinnah block, bahria town - sector e",Bahria Town - Jinnah Block
Lahore,"Bahria Town - Overseas A, Bahria Town - Overseas Enclave",32800000.0,0.0,0.0,2250.0,2023,historical,"bahria town - overseas a, bahria town - overseas enclave",Bahria Town - Overseas A
Lahore,"DHA Phase 5, DHA Defence",85000000.0,5.0,6.0,4500.0,2023,historical,"dha phase 5, dha defence",Dha Phase 5
